ua_name,county_name,population_2020,population_2010,population_2000
"Albany, OR",Benton,9948,7183,5733
"Albany, OR",Linn,52133,46854,37520
"Bend, OR",Deschutes,106884,83138,58074
"Corvallis, OR",Benton,66585,60058,54495
"Eugene, OR",Lane,270098,245719,223502
"Grants Pass, OR",Jackson,5374,4765,4512
"Grants Pass, OR",Josephine,49867,45486,39447
"Medford, OR",Jackson,171025,153664,132752
"Portland, OR--WA",Clackamas,301166,264909,238058
"Portland, OR--WA",Marion,5926,5373,4257
"Portland, OR--WA",Multnomah,804525,724550,649865
"Portland, OR--WA",Washington,566488,498661,415309
"Salem, OR",Marion,237160,213560,192657
"Salem, OR",Polk,30941,25790,19411
