mpo_name,county_name,population_2010,population_2000
Albany,Benton,9974,
Albany,Linn,52642,
Albany,Marion,3418,
Bend,Deschutes,109272,84336
Corvallis,Benton,69962,64987
Corvallis,Linn,0,0
METRO,Clackamas,307914,262226
METRO,Marion,5949,
METRO,Multnomah,809000,728577
METRO,Washington,570456,494540
Middle Rogue,Jackson,6312,
Middle Rogue,Josephine,57480,
Rogue Valley,Jackson,185936,
Salem-Keizer Area Transportation Study,Marion,243193,
Salem-Keizer Area Transportation Study,Polk,33241,
Eugene/Springfield,Lane,,249750
Salem/Keizer,Marion,,213994
Salem/Keizer,Polk,,27604
