ua_name,county_name,population_2025,population_2020,population_2010,population_2000
"Albany, OR",Benton,9912,9948,7073,
"Albany, OR",Linn,52162,52133,46804,
"Albany, OR",Marion,,,3100,
"Bend, OR",Deschutes,106865,106884,83629,57057
"Corvallis, OR",Benton,66566,66585,61922,58098
"Eugene, OR",Lane,270132,270098,246973,222969
"Grants Pass, OR",Jackson,5374,5374,4433,
"Grants Pass, OR",Josephine,50007,49867,45246,
"Medford, OR",Jackson,171202,171025,153362,127724
"Portland, OR--WA",Clackamas,301106,301166,264687,234048
"Portland, OR--WA",Marion,5916,5926,232,250
"Portland, OR--WA",Multnomah,804481,804525,724494,648186
"Portland, OR--WA",Washington,566419,566488,499880,414221
"Salem, OR",Marion,237160,237160,210451,186918
"Salem, OR",Polk,30928,30941,25907,19764
